Serial Number,Error Type,Ungrammatical_Statement,Standard_English
1332,Ambiguity,He has went to the store.,He has gone to the store.
1333,Ambiguity,Their going to the concert.,They're going to the concert.
1334,Ambiguity,The cat had ran away.,The cat had run away.
1335,Ambiguity,The car needs washed.,The car needs to be washed.
1336,Ambiguity,My friend they play basketball.,My friends play basketball.
1337,Ambiguity,He be at the party tonight.,He will be at the party tonight.
1338,Ambiguity,The cake need more sugar.,The cake needs more sugar.
1341,Ambiguity,The boys wants to play soccer.,The boys want to play soccer.
1342,Ambiguity,She must of forgotten her keys.,She must have forgotten her keys.
1343,Ambiguity,The dog layed on the floor.,The dog lay on the floor.
1344,Ambiguity,He could of been a great leader.,He could have been a great leader.
1345,Ambiguity,The computer is slow I need a new one.,The computer is slow; I need a new one.
1346,Ambiguity,The plane it's leaving in two hours.,The plane is leaving in two hours.
1347,Ambiguity,Me and her went to the movies.,She and I went to the movies.
1348,Ambiguity,I should of studied harder.,I should have studied harder.
1349,Ambiguity,The concert was very loud it hurt my ears.,The concert was very loud; it hurt my ears.
1351,Ambiguity,He needs learn to cook.,He needs to learn to cook.
1352,Ambiguity,I wants to see the new movie.,I want to see the new movie.
1353,Ambiguity,The cat hid under the table because the dog barked.,The cat hid under the table because the dog was barking.
1354,Ambiguity,The childrens went to the park.,The children went to the park.
1355,Ambiguity,The girl hair was long and curly.,The girl's hair was long and curly.
1356,Ambiguity,He plays guitar good.,He plays the guitar well.
1357,Ambiguity,She's been to Paris last year.,She went to Paris last year.
1358,Ambiguity,The man who dropped his wallet I returned it to him.,I returned the wallet to the man who dropped it.
1359,Ambiguity,The cake is needing more time to bake.,The cake needs more time to bake.
1361,Ambiguity,She very tired after work.,She was very tired after work.
1362,Ambiguity,They didn't seen the sign.,They didn't see the sign.
1363,Ambiguity,The car was drove by him.,The car was driven by him.
1364,Ambiguity,The child was ate the candy.,The child ate the candy.
1365,Ambiguity,The trees was cut down.,The trees were cut down.
1366,Ambiguity,I'm excited for going on vacation.,I'm excited about going on vacation.
1367,Ambiguity,He doesn't wants to eat.,He doesn't want to eat.
1368,Ambiguity,The girl draw a picture.,The girl drew a picture.
1369,Ambiguity,She has ran three miles.,She has run three miles.
1370,Ambiguity,The book that I found it was interesting.,The book that I found was interesting.
1371,Ambiguity,The sun shines to bright.,The sun shines too bright.
1372,Ambiguity,The boy broke him arm.,The boy broke his arm.
1373,Ambiguity,She don't know how to swim.,She doesn't know how to swim.
1374,Ambiguity,The dog chases it's tail.,The dog chases its tail.
1379,Mixed Conditionals,I would have called you if I knew your number.,I would have called you if I had known your number.
1382,Mixed Conditionals,He could have bought the house if he has enough money.,He could have bought the house if he had enough money.
1391,Mixed Conditionals,She might have come if you will invite her.,She might have come if you had invited her.
1424,Faulty Comparisons,Apples are more better than oranges.,Apples are better than oranges.
1426,Faulty Comparisons,Smartphones are becoming more smarter.,Smartphones are becoming smarter.
1427,Faulty Comparisons,My cat is more faster than your dog.,My cat is faster than your dog.
1428,Faulty Comparisons,The movie was more worse than the book.,The movie was worse than the book.
1429,Faulty Comparisons,John is a better cook than a musician Sam.,John is a better cook than Sam is a musician.
1431,Faulty Comparisons,The meal was more tastier than what I expected.,The meal was tastier than what I expected.
1432,Faulty Comparisons,It's more colder in Canada than it is in California.,It's colder in Canada than it is in California.
1434,Faulty Comparisons,The water is more deeper here than over there.,The water is deeper here than over there.
1435,Faulty Comparisons,She's more happier when she's with her friends.,She's happier when she's with her friends.
1436,Faulty Comparisons,This game is more easier than the last one.,This game is easier than the last one.
1437,Faulty Comparisons,The new model is more lighter than the previous one.,The new model is lighter than the previous one.
1438,Faulty Comparisons,The dress is less prettier than the one she wore yesterday.,The dress is less pretty than the one she wore yesterday.
1440,Faulty Comparisons,The car is more safer than a motorcycle.,The car is safer than a motorcycle.
1441,Faulty Comparisons,The old house is less bigger than the new one.,The old house is smaller than the new one.
1442,Faulty Comparisons,My coffee is more hotter than yours.,My coffee is hotter than yours.
1443,Faulty Comparisons,The meeting was less longer than I anticipated.,The meeting was shorter than I anticipated.
1444,Faulty Comparisons,The concert was more louder than I expected.,The concert was louder than I expected.
1446,Faulty Comparisons,The weather is more warmer in the south.,The weather is warmer in the south.
1448,Faulty Comparisons,The journey is more longer by train than by car.,The journey is longer by train than by car.
1449,Faulty Comparisons,The TV show is less funnier than the original.,The TV show is less funny than the original.
1450,Faulty Comparisons,This chocolate is more sweeter than the other one.,This chocolate is sweeter than the other one.
1451,Faulty Comparisons,The exam was less harder than I thought.,The exam was easier than I thought.
1452,Faulty Comparisons,He is more lazier than his brother.,He is lazier than his brother.
1453,Faulty Comparisons,The new manager is less stricter than the old one.,The new manager is less strict than the old one.
1454,Faulty Comparisons,My new phone is more thinner than my old one.,My new phone is thinner than my old one.
1455,Faulty Comparisons,The beach is more cleaner than the lake.,The beach is cleaner than the lake.
1456,Faulty Comparisons,The student is more smarter than the teacher.,The student is smarter than the teacher.
1458,Faulty Comparisons,The new employee is more punctual than the old one.,The new employee is more punctual than the old one.
1459,Faulty Comparisons,Her singing is less better than her dancing.,Her singing is not as good as her dancing.
1460,Faulty Comparisons,The hotel room is more smaller than I expected.,The hotel room is smaller than I expected.
1461,Faulty Comparisons,The bicycle is more cheaper than the car.,The bicycle is cheaper than the car.
1462,Faulty Comparisons,The soup is more saltier than the salad.,The soup is saltier than the salad.
1463,Faulty Comparisons,The presentation was more boring than the lecture.,The presentation was more boring than the lecture.
1464,Faulty Comparisons,The weather is less hotter today than yesterday.,The weather is cooler today than yesterday.
1465,Faulty Comparisons,His jokes are more funnier than hers.,His jokes are funnier than hers.
1466,Faulty Comparisons,The mountain is more higher than the hill.,The mountain is higher than the hill.
1470,Faulty Comparisons,The train is more faster than the bus.,The train is faster than the bus.
1472,Faulty Comparisons,His writing is more worse than his speaking.,His writing is worse than his speaking.
1473,Incorrect Auxiliaries,How you is doing today?,How are you doing today?
1474,Incorrect Auxiliaries,She don't know the answer to the question.,She doesn't know the answer to the question.
1475,Incorrect Auxiliaries,I am not can swim in the pool.,I cannot swim in the pool.
1476,Incorrect Auxiliaries,Does he has a new car?,Does he have a new car?
1477,Incorrect Auxiliaries,It are important to wash your hands regularly.,It is important to wash your hands regularly.
1478,Incorrect Auxiliaries,He were at the party last night.,He was at the party last night.
1479,Incorrect Auxiliaries,They was planning to go on a trip.,They were planning to go on a trip.
1480,Incorrect Auxiliaries,She am studying for her exams.,She is studying for her exams.
1481,Incorrect Auxiliaries,I have been not feeling well lately.,I have not been feeling well lately.
1482,Incorrect Auxiliaries,She are going to the store for groceries.,She is going to the store for groceries.
1483,Incorrect Auxiliaries,The book do not belong to me.,The book does not belong to me.
1484,Incorrect Auxiliaries,The computer be not working properly.,The computer is not working properly.
1485,Incorrect Auxiliaries,I did not went to the concert last weekend.,I did not go to the concert last weekend.
1486,Incorrect Auxiliaries,The cat has eaten it food.,The cat has eaten its food.
1487,Incorrect Auxiliaries,She do her homework every day.,She does her homework every day.
1488,Incorrect Auxiliaries,He have a meeting at 10 o'clock.,He has a meeting at 10 o'clock.
1489,Incorrect Auxiliaries,I wants to learn how to play the guitar.,I want to learn how to play the guitar.
1490,Incorrect Auxiliaries,The dog was chasing it tail.,The dog was chasing its tail.
1491,Incorrect Auxiliaries,The cake needs to be baking for 30 minutes.,The cake needs to be baked for 30 minutes.
1492,Incorrect Auxiliaries,The flowers is growing in the garden.,The flowers are growing in the garden.
1493,Incorrect Auxiliaries,I do not likes to eat vegetables.,I do not like to eat vegetables.
1494,Incorrect Auxiliaries,She are a great dancer.,She is a great dancer.
1495,Incorrect Auxiliaries,The book it's on the shelf.,The book is on the shelf.
1496,Incorrect Auxiliaries,They does not understand the assignment.,They do not understand the assignment.
1498,Incorrect Auxiliaries,The sun are shining brightly today.,The sun is shining brightly today.
1499,Incorrect Auxiliaries,He have a collection of rare coins.,He has a collection of rare coins.
1500,Incorrect Auxiliaries,The team has not been practice enough.,The team has not been practicing enough.
1501,Incorrect Auxiliaries,The city's population be growing rapidly.,The city's population is growing rapidly.
1502,Incorrect Auxiliaries,She does not has any siblings.,She does not have any siblings.
1503,Incorrect Auxiliaries,The movie am starting in five minutes.,The movie is starting in five minutes.
1504,Incorrect Auxiliaries,The car it's parked in the driveway.,The car is parked in the driveway.
1505,Incorrect Auxiliaries,She don't like to watch horror movies.,She doesn't like to watch horror movies.
1506,Incorrect Auxiliaries,The company be launching a new product.,The company is launching a new product.
1507,Incorrect Auxiliaries,The flowers has bloomed in the spring.,The flowers bloom in the spring.
1508,Incorrect Auxiliaries,He do not want to go to the dentist.,He does not want to go to the dentist.
1509,Incorrect Auxiliaries,The students has to complete their assignments.,The students have to complete their assignments.
1510,Incorrect Auxiliaries,The cake are ready to be served.,The cake is ready to be served.
1511,Incorrect Auxiliaries,I did not seen him at the party.,I did not see him at the party.
1512,Incorrect Auxiliaries,The birds is flying south for the winter.,The birds are flying south for the winter.
1513,Incorrect Auxiliaries,She am not interested in politics.,She is not interested in politics.
1514,Incorrect Auxiliaries,The store have a sale on electronics.,The store has a sale on electronics.
1515,Incorrect Auxiliaries,He were helping his friend move furniture.,He was helping his friend move furniture.
1516,Incorrect Auxiliaries,The children do their chores every day.,The children do their chores every day.
1517,Incorrect Auxiliaries,The temperature have dropped below freezing.,The temperature has dropped below freezing.
1518,Incorrect Auxiliaries,I does not know how to solve this problem.,I do not know how to solve this problem.
1520,Incorrect Auxiliaries,The car it's making a strange noise.,The car is making a strange noise.
1521,Incorrect Auxiliaries,The plants needs to be watered every day.,The plants need to be watered every day.
1523,Negation Errors,I don't know nothing about cars.,I don't know anything about cars.
1524,Negation Errors,She didn't never visit the museum.,She never visited the museum.
1525,Negation Errors,He can't play no instruments.,He can't play any instruments.
1526,Negation Errors,I didn't see nobody at the party.,I didn't see anybody at the party.
1527,Negation Errors,There isn't no reason to worry.,There is no reason to worry.
1528,Negation Errors,He didn't have no time to study.,He didn't have any time to study.
1529,Negation Errors,They haven't never been to Italy.,They have never been to Italy.
1530,Negation Errors,She can't find her keys nowhere.,She can't find her keys anywhere.
1531,Negation Errors,I won't do nothing to help him.,I won't do anything to help him.
1532,Negation Errors,There weren't no snacks at the event.,There were no snacks at the event.
1533,Negation Errors,I haven't got no money to spend.,I haven't got any money to spend.
1534,Negation Errors,She didn't buy none of the books.,She didn't buy any of the books.
1535,Negation Errors,You can't eat no ice cream before dinner.,You can't eat any ice cream before dinner.
1536,Negation Errors,I couldn't find no information on the topic.,I couldn't find any information on the topic.
1537,Negation Errors,They don't have no pets at home.,They don't have any pets at home.
1538,Negation Errors,He hasn't read not a single book.,He hasn't read a single book.
1539,Negation Errors,I won't tell nobody your secret.,I won't tell anybody your secret.
1540,Negation Errors,They didn't make no progress on the project.,They didn't make any progress on the project.
1541,Negation Errors,I don't want nothing for my birthday.,I don't want anything for my birthday.
1542,Negation Errors,She didn't learn nothing from the course.,She didn't learn anything from the course.
1543,Negation Errors,He doesn't like no vegetables.,He doesn't like any vegetables.
1544,Negation Errors,I didn't find no errors in the report.,I didn't find any errors in the report.
1545,Negation Errors,They don't have no plans for the weekend.,They don't have any plans for the weekend.
1546,Negation Errors,She can't wear no jewelry at work.,She can't wear any jewelry at work.
1547,Negation Errors,He didn't write no emails today.,He didn't write any emails today.
1548,Negation Errors,I won't listen to no more excuses.,I won't listen to any more excuses.
1549,Negation Errors,They didn't find no evidence at the crime scene.,They didn't find any evidence at the crime scene.
1550,Negation Errors,She doesn't like no movies with violence.,She doesn't like any movies with violence.
1551,Negation Errors,I didn't hear nothing from her.,I didn't hear anything from her.
1552,Negation Errors,There isn't no milk in the fridge.,There is no milk in the fridge.
1553,Negation Errors,He can't drink no alcohol tonight.,He can't drink any alcohol tonight.
1554,Negation Errors,I won't accept no apologies.,I won't accept any apologies.
1555,Negation Errors,She didn't give no explanation.,She didn't give any explanation.
1556,Negation Errors,They don't know nothing about the new policy.,They don't know anything about the new policy.
1557,Negation Errors,He didn't eat no breakfast this morning.,He didn't eat any breakfast this morning.
1558,Negation Errors,I can't find no solutions to this problem.,I can't find any solutions to this problem.
1559,Negation Errors,They didn't hire no new employees.,They didn't hire any new employees.
1560,Negation Errors,She doesn't want no dessert.,She doesn't want any dessert.
1561,Negation Errors,I didn't take no pictures on my trip.,I didn't take any pictures on my trip.
1562,Negation Errors,He doesn't have no siblings.,He doesn't have any siblings.
1563,Negation Errors,I won't watch no more TV tonight.,I won't watch any more TV tonight.
1564,Negation Errors,They didn't pack no extra clothes.,They didn't pack any extra clothes.
1565,Negation Errors,She doesn't own no fancy clothes.,She doesn't own any fancy clothes.
1566,Negation Errors,I didn't meet no interesting people at the conference.,I didn't meet any interesting people at the conference.
1567,Negation Errors,He doesn't read no newspapers.,He doesn't read any newspapers.
1568,Negation Errors,I can't remember no passwords.,I can't remember any passwords.
1569,Negation Errors,They don't take no vacations.,They don't take any vacations.
1570,Negation Errors,She didn't speak no foreign languages.,She didn't speak any foreign languages.
1571,Negation Errors,I haven't received no packages.,I haven't received any packages.
1572,Negation Errors,He can't lift no heavy weights.,He can't lift any heavy weights.
1573,Ellipsis Errors,I went to the store... bought milk.,I went to the store and bought milk.
1574,Ellipsis Errors,She was so tired... couldn't keep her eyes open.,She was so tired that she couldn't keep her eyes open.
1575,Ellipsis Errors,Can't believe... leaving so soon.,I can't believe you're leaving so soon.
1577,Ellipsis Errors,The movie was great... best I've seen in a while.,The movie was great; it's the best I've seen in a while.
1578,Ellipsis Errors,...is not the way to handle this problem.,That is not the way to handle this problem.
1579,Ellipsis Errors,...think we should take a break.,I think we should take a break.
1581,Ellipsis Errors,He's a doctor... also a talented musician.,He's a doctor and also a talented musician.
1582,Ellipsis Errors,She loves to travel... visited over 20 countries.,She loves to travel and has visited over 20 countries.
1583,Ellipsis Errors,My favorite ice cream flavors are... chocolate and vanilla.,My favorite ice cream flavors are chocolate and vanilla.
1584,Ellipsis Errors,The team worked hard... completed the project on time.,The team worked hard and completed the project on time.
1586,Ellipsis Errors,I enjoy reading books... history and science fiction.,I enjoy reading books about history and science fiction.
1589,Ellipsis Errors,Didn't expect... see you here.,I didn't expect to see you here.
1590,Ellipsis Errors,The game was intense... went into overtime.,The game was intense and went into overtime.
1593,Ellipsis Errors,He studied for weeks... failed the exam.,He studied for weeks but still failed the exam.
1594,Ellipsis Errors,The new software is easy to use... efficient.,The new software is easy to use and efficient.
1595,Ellipsis Errors,The meeting went well... discussed important topics.,The meeting went well because we discussed important topics.
1597,Ellipsis Errors,The book is long... very interesting.,The book is long but very interesting.
1600,Ellipsis Errors,The new policy is unpopular... likely to change.,The new policy is unpopular and is likely to change.
1607,Ellipsis Errors,The recipe is simple... requires few ingredients.,The recipe is simple and requires few ingredients.
1613,Ellipsis Errors,The hotel is luxurious... expensive.,The hotel is luxurious but expensive.
1622,Slang Jargon and Colloquialisms,Ain't no way I'm going to that party.,There's no way I'm going to that party.
1624,Slang Jargon and Colloquialisms,She don't know nothing about them computers.,She doesn't know anything about those computers.
1625,Slang Jargon and Colloquialisms,We was walking to the store when it started raining.,We were walking to the store when it started raining.
1626,Slang Jargon and Colloquialisms,Me and him went to the movies last night.,He and I went to the movies last night.
1627,Slang Jargon and Colloquialisms,Could you gimme some advice on this essay?,Could you give me some advice on this essay?
1631,Slang Jargon and Colloquialisms,Lemme know when you're ready to leave.,Let me know when you're ready to leave.
1632,Slang Jargon and Colloquialisms,I dunno where the keys are.,11. I don't know where the keys are.
1633,Slang Jargon and Colloquialisms,You got any idea how to fix this?,Do you have any idea how to fix this?
1634,Slang Jargon and Colloquialisms,The new hire's a real whiz kid in Python coding.,The new hire is highly skilled in Python programming.
1636,Slang Jargon and Colloquialisms,She's the kinda person who's always late.,She's the type of person who's always late.
1637,Slang Jargon and Colloquialisms,They be doing the most to impress the boss.,They are always going above and beyond to impress the boss.
1638,Slang Jargon and Colloquialisms,The photog took some great snaps at the wedding.,The photographer took some great photos at the wedding.
1639,Slang Jargon and Colloquialisms,You oughta try this new sushi place.,You should try this new sushi place.
1641,Slang Jargon and Colloquialisms,He's gonna need a new hard drive for his comp.,He's going to need a new hard drive for his computer.
1642,Slang Jargon and Colloquialisms,Can't you just chill for a sec?,Can't you just relax for a moment?
1643,Slang Jargon and Colloquialisms,The client's server got a DDoS attack last night.,The client's server experienced a distributed denial-of-service attack last night.
1644,Slang Jargon and Colloquialisms,The company's CEO is a real hardass.,The company's CEO is very strict.
1645,Slang Jargon and Colloquialisms,I dunno if I can make it to the party tonight.,I don't know if I can make it to the party tonight.
1646,Slang Jargon and Colloquialisms,They're gonna demo their new product at the expo.,They're going to demonstrate their new product at the expo.
1647,Slang Jargon and Colloquialisms,You wanna grab some dinner later?,Do you want to have dinner later?
1648,Slang Jargon and Colloquialisms,The plumber had to fix the busted pipe.,The plumber had to repair the broken pipe.
1649,Slang Jargon and Colloquialisms,I gotta get this report done by tomorrow.,I have to finish this report by tomorrow.
1650,Slang Jargon and Colloquialisms,That rollercoaster was hella fun!,That rollercoaster was extremely fun!

1652,Slang Jargon and Colloquialisms,They didn't do jack to help with the project.,They didn't do anything to help with the project.
1653,Slang Jargon and Colloquialisms,She's been feeling kinda meh lately.,She's been feeling somewhat indifferent lately.
1654,Slang Jargon and Colloquialisms,The cop gave him a ticket for speeding.,The police officer gave him a ticket for speeding.
1655,Slang Jargon and Colloquialisms,The hacker used a zero-day exploit to compromise the system.,The hacker used an unknown vulnerability to compromise the system.
1656,Slang Jargon and Colloquialisms,She's got mad skills on the basketball court.,She has exceptional skills on the basketball court.
1657,Slang Jargon and Colloquialisms,I'm gonna head to the gym after work.,I'm going to the gym after work.
1658,Slang Jargon and Colloquialisms,He's got a lot of irons in the fire right now.,He's currently involved in many projects.
1659,Slang Jargon and Colloquialisms,The boss ain't gonna be happy about this.,The boss isn't going to be happy about this.
1660,Slang Jargon and Colloquialisms,Can you send me the deets for the event?,Can you send me the details for the event?
1661,Slang Jargon and Colloquialisms,The marketing team's gonna brainstorm some new ideas.,The marketing team is going to brainstorm some new ideas.
1662,Slang Jargon and Colloquialisms,You shoulda seen the look on her face!,You should have seen the look on her face!
1665,Slang Jargon and Colloquialisms,The new intern's a total go-getter.,The new intern is highly motivated.
1666,Slang Jargon and Colloquialisms,The chef cooked up some delish dishes.,The chef prepared some delicious dishes.
1667,Slang Jargon and Colloquialisms,The athlete's been hitting the gym like crazy.,The athlete has been training intensely at the gym.
1668,Slang Jargon and Colloquialisms,That movie was a total snoozefest.,That movie was extremely boring.
1669,Slang Jargon and Colloquialisms,The IT guy had to come fix the glitchy software.,The IT specialist had to come repair the malfunctioning software.
1670,Slang Jargon and Colloquialisms,He's got a knack for fixing busted tech.,He has a talent for repairing broken technology.
1671,Slang Jargon and Colloquialisms,The artist's new album is gonna drop next week., The artist's new album is going to be released next week.
1672,Cliches,He's at end of his rope.,He's at the end of his rope.
1673,Cliches,She got quick and the dead.,She was quick and the dead.
1674,Cliches,That's music my ears.,That's music to my ears.
1675,Cliches,She bite off more than chew.,She bit off more than she could chew.
1676,Cliches,Your guess good as mine.,Your guess is as good as mine.
1677,Cliches,You're barking the wrong tree.,You're barking up the wrong tree.
1678,Cliches,He's just tip of the iceberg.,He's just the tip of the iceberg.
1679,Cliches,He's trying to reinvent wheel.,He's trying to reinvent the wheel.
1680,Cliches,They putting all eggs one basket.,They are putting all their eggs in one basket.
1681,Cliches,You can't have cake eat it too.,You can't have your cake and eat it too.
1682,Cliches,He's burning candle both ends.,He's burning the candle at both ends.
1683,Cliches,She's apple of her father's eye.,She's the apple of her father's eye.
1684,Cliches,The team went back drawing board.,The team went back to the drawing board.
1685,Cliches,It's blessing disguise.,It's a blessing in disguise.
1686,Cliches,She's trying to find needle haystack.,She's trying to find a needle in a haystack.
1687,Cliches,You're comparing apples oranges.,You're comparing apples to oranges.
1688,Cliches,That's elephant room.,That's the elephant in the room.
1689,Cliches,They have axe grind.,They have an axe to grind.
1690,Cliches,Don't count chickens they hatch.,Don't count your chickens before they hatch.
1691,Cliches,He's chip off old block.,He's a chip off the old block.
1692,Cliches,We need think outside box.,We need to think outside the box.
1693,Cliches,He's dime a dozen.,He's a dime a dozen.
1694,Cliches,Actions louder than words.,Actions speak louder than words.
1695,Cliches,Opportunity knocks once.,Opportunity only knocks once.
1696,Cliches,I've got bigger fish fry.,I've got bigger fish to fry.
1698,Cliches,It's best both worlds.,It's the best of both worlds.
1699,Cliches,She's caught between rock hard place.,She's caught between a rock and a hard place.
1700,Cliches,It's calm before storm.,It's the calm before the storm.
1701,Cliches,They're cutting their nose spite face.,They're cutting off their nose to spite their face.
1702,Cliches,He's devil's advocate.,He's playing devil's advocate.
1703,Cliches,He's adding fuel fire.,He's adding fuel to the fire.
1704,Cliches,He's giving cold shoulder.,He's giving her the cold shoulder.
1705,Cliches,It's hard nut crack.,It's a hard nut to crack.
1706,Cliches,He's hitting two birds stone.,He's hitting two birds with one stone.
1707,Cliches,They're jumping the bandwagon.,They're jumping on the bandwagon.
1708,Cliches,She's making mountain molehill.,She's making a mountain out of a molehill.
1709,Cliches,He's not sharpest tool shed.,He's not the sharpest tool in the shed.
1710,Cliches,It's raining cats dogs.,It's raining cats and dogs.
1711,Cliches,They're reading between lines.,They're reading between the lines.
1712,Cliches,He's taking bull horns.,He's taking the bull by the horns.
1713,Cliches,They're throwing baby bathwater.,They're throwing the baby out with the bathwater.
1714,Cliches,Time flies you fun.,Time flies when you're having fun.
1715,Cliches,He's turning blind eye.,He's turning a blind eye.
1716,Cliches,It's whole new ball game.,It's a whole new ball game.
1717,Cliches,That's wolf sheep's clothing.,That's a wolf in sheep's clothing.
1718,Cliches,He's wearing heart sleeve.,He's wearing his heart on his sleeve.
1719,Cliches,You can't judge book cover.,You can't judge a book by its cover.
1721,Abbreviation Errors,My bro just joined the USMC yday.,My brother just joined the United States Marine Corps yesterday.
1724,Abbreviation Errors,The engine has 200hp and 300lb-ft tq.,The engine has 200 horsepower and 300 pound-feet of torque.
1727,Abbreviation Errors,The doc prescribed me NSAIDs for my pain.,The doctor prescribed me nonsteroidal anti-inflammatory drugs for my pain.
1729,Abbreviation Errors,Their business model involves B2B and B2C svs.,Their business model involves business-to-business and business-to-consumer services.
1730,Abbreviation Errors,The H2O lvl in the tank is getting low.,The water level in the tank is getting low.
1731,Abbreviation Errors,I think they use AI and ML in their app.,I think they use artificial intelligence and machine learning in their app.
1733,Abbreviation Errors,They're going to visit the MOMA nxt wk.,They're going to visit the Museum of Modern Art next week.
1734,Abbreviation Errors,My fav band is playing at SXSW this yr.,My favorite band is playing at South by Southwest this year.
1735,Abbreviation Errors,The atm in the mall is out of svc.,The automated teller machine in the mall is out of service.
1738,Abbreviation Errors,The govt is considering new reg's for CO2 ems.,The government is considering new regulations for carbon dioxide emissions.
1740,Abbreviation Errors,I need to buy a new SSD for my cmp.,I need to buy a new solid-state drive for my computer.
1741,Abbreviation Errors,The CPU and GPU of the sys are quite powerful.,The central processing unit and graphics processing unit of the system are quite powerful.
1742,Abbreviation Errors,I'll be traveling to the UK and the EU nxt mth.,I'll be traveling to the United Kingdom and the European Union next month.
1743,Abbreviation Errors,He'll be attending the conf on IoT and 5G tech.,He'll be attending the conference on the Internet of Things and 5G technology.
1744,Abbreviation Errors,The recipe calls for 1tsp of salt and 2tbsp of sugar.,The recipe calls for 1 teaspoon of salt and 2 tablespoons of sugar.
1745,Abbreviation Errors,The car's fuel eff is rated at 35mpg on hwy.,The car's fuel efficiency is rated at 35 miles per gallon on the highway.
1746,Abbreviation Errors,The new OS update includes many UX/UI impr.,The new operating system update includes many user experience/user interface improvements.
1747,Abbreviation Errors,The article was pub'd in the NYT last wk.,The article was published in the New York Times last week.
1748,Abbreviation Errors,The rpt states that GDP growth has slowed.,The report states that gross domestic product growth has slowed.
1749,Abbreviation Errors,The sci study focused on DNA and RNA strc.,The scientific study focused on deoxyribonucleic acid and ribonucleic acid structures.
1751,Abbreviation Errors,They're launching a new SaaS product nxt qtr.,They're launching a new Software as a Service product next quarter.
1752,Abbreviation Errors,The avg temp in the city is 75°F in the sum.,The average temperature in the city is 75 degrees Fahrenheit in the summer.
1753,Abbreviation Errors,He's an expert in SEO and SEM strat.,He's an expert in search engine optimization and search engine marketing strategies.
1754,Abbreviation Errors,The team is focusing on R&D for the proj.,The team is focusing on research and development for the project.
1755,Abbreviation Errors,The UN has declared a new initiative for SDGs.,The United Nations has declared a new initiative for Sustainable Development Goals.
1756,Abbreviation Errors,The hotel offers free Wi-Fi and a cont'l bfast.,The hotel offers free wireless internet and a continental breakfast.
1757,Abbreviation Errors,The ct scan revealed no abnormalities.,The computed tomography scan revealed no abnormalities.
1758,Abbreviation Errors,The pkg includes a tkt to the theme park and htl stay.,The package includes a ticket to the theme park and hotel stay.
1759,Abbreviation Errors,The stm't from the CEO addressed the recent prblms.,The statement from the chief executive officer addressed the recent problems.
1761,Abbreviation Errors,The co is implementing new CSR policies.,The company is implementing new corporate social responsibility policies.
1762,Abbreviation Errors,She's a memb of the PTA at her child's school.,She's a member of the Parent-Teacher Association at her child's school.
1763,Abbreviation Errors,The weather rpt calls for rain tmrw.,The weather report calls for rain tomorrow.
1764,Abbreviation Errors,The doc will perform an MRI to check for any issues.,The doctor will perform a magnetic resonance imaging to check for any issues.
1765,Abbreviation Errors,The smrtph has a 5.5 OLED display.,The smartphone has a 5.5-inch organic light-emitting diode display.
1766,Abbreviation Errors,The new bldg will be LEED certified.,The new building will be Leadership in Energy and Environmental Design certified.
1767,Abbreviation Errors,The recipe calls for 1lb of grd beef.,The recipe calls for 1 pound of ground beef.
1768,Abbreviation Errors,The new law will be eff from Jan 1st.,The new law will be effective from January 1st.
1769,Abbreviation Errors,The fin'l stmnts must be audited by a CPA.,The financial statements must be audited by a Certified Public Accountant.
1771,Contractions Errors,I don't know where it's key is.,I don't know where its key is.
1772,Contractions Errors,She's phone is out of battery.,Her phone is out of battery.
1774,Contractions Errors,Their's a new movie coming out this week.,There's a new movie coming out this week.
1775,Contractions Errors,It's not easy to decide which's the best option.,It's not easy to decide which is the best option.
1776,Contractions Errors,They're dog has been missing since yesterday.,Their dog has been missing since yesterday.
1777,Contractions Errors,The company is known for it's innovations.,The company is known for its innovations.
1781,Contractions Errors,It's color is fading after multiple washes.,Its color is fading after multiple washes.
1782,Contractions Errors,The cat hurt it's paw while climbing the tree.,The cat hurt its paw while climbing the tree.
1783,Contractions Errors,She's book is on the table.,Her book is on the table.
1784,Contractions Errors,The flowers in the garden lost they're color.,The flowers in the garden lost their color.
1786,Contractions Errors,He's car needs a new engine.,His car needs a new engine.
1787,Contractions Errors,The restaurant is known for they're pizza.,The restaurant is known for their pizza.
1789,Contractions Errors,She's job is to manage the team's schedule.,Her job is to manage the team's schedule.
1792,Contractions Errors,She's shoes are the latest fashion.,Her shoes are the latest fashion.
1796,Contractions Errors,The team lost they're motivation after the loss.,The team lost their motivation after the loss.
1797,Contractions Errors,Their's a problem with the computer's software.,There's a problem with the computer's software.
1800,Contractions Errors,Her's idea was innovative and successful.,Her idea was innovative and successful.
1803,Contractions Errors,He's watch is expensive and luxurious.,His watch is expensive and luxurious.
1804,Contractions Errors,She's earrings are made of gold.,Her earrings are made of gold.
1807,Contractions Errors,The artist is famous for they're unique style.,The artist is famous for their unique style.
1814,Contractions Errors,Their's no denying that the Earth is round.,There's no denying that the Earth is round.
1815,Contractions Errors,She's hair is long and curly.,Her hair is long and curly.
1819,Relative Clause Errors,The man which bought the car was happy.,The man who bought the car was happy.
1820,Relative Clause Errors,The cake I ate it for dessert was delicious.,The cake I ate for dessert was delicious.
1821,Relative Clause Errors,I met a woman has three dogs.,I met a woman who has three dogs.
1822,Relative Clause Errors,This is the book I told you about.,This is the book that I told you about.
