"Ungrammatical_Statement","Standard_English"
"The girl found the lost puppy was very kind.","The girl who found the lost puppy was very kind."
"The store I bought the shirt is having a sale.","The store where I bought the shirt is having a sale."
"The recipe I tried it last night was delicious.","The recipe that I tried last night was delicious."
"The park people play soccer is near my house.","The park where people play soccer is near my house."
"The mechanic fixed my car is very skilled.","The mechanic who fixed my car is very skilled."
"The magazine I subscribed to it is about photography.","The magazine that I subscribed to is about photography."
"The city I visited last summer has beautiful architecture.","The city that I visited last summer has beautiful architecture."
"The shirt I spilled coffee on it is ruined.","The shirt on which I spilled coffee is ruined."
"The concert we went to it last night was amazing.","The concert that we went to last night was amazing."
"The college my sister attends it has a beautiful campus.","The college that my sister attends has a beautiful campus."
"The machine I'm using it at the gym is broken.","The machine that I'm using at the gym is broken."
"The apartment I live in it has a great view.","The apartment where I live has a great view."
"The company the job offer came from is well-known.","The company from which the job offer came is well-known."
"The park I walk my dog is just down the street.","The park where I walk my dog is just down the street."
"The phone I dropped it in water is no longer working.","The phone that I dropped in water is no longer working."
"The beach we went to it last weekend was crowded.","The beach that we went to last weekend was crowded."
"He decided to quickly finish his homework.","He decided to finish his homework quickly."
"She wants to in the future study computer science.","She wants to study computer science in the future."
"I'm going to not eat junk food anymore.","I'm not going to eat junk food anymore."
"We need to completely revise our marketing strategy.","We need to revise our marketing strategy completely."
"They hope to soon launch a new product.","They hope to launch a new product soon."
"She aspires to professionally become a dancer.","She aspires to become a professional dancer."
"The architect planned to creatively design the building.","The architect planned to design the building creatively."
"They're trying to efficiently manage their time.","They're trying to manage their time efficiently."
"He always forgets to carefully proofread his essays.","He always forgets to proofread his essays carefully."
"The scientist aimed to accurately record all the data.","The scientist aimed to record all the data accurately."
"She wanted to gracefully perform on stage.","She wanted to perform on stage gracefully."
"The mechanic advised to regularly check the oil levels.","The mechanic advised to check the oil levels regularly."
"The teacher told us to actively participate in class.","The teacher told us to participate actively in class."
"The chef tried to perfectly cook the steak.","The chef tried to cook the steak perfectly."
"The manager asked to promptly submit our reports.","The manager asked to submit our reports promptly."
"He plans to eventually write a book about his travels.","He plans to write a book about his travels eventually."
"She wanted to privately speak with her supervisor.","She wanted to speak privately with her supervisor."
"The athlete aimed to continuously improve his performance.","The athlete aimed to improve his performance continuously."
"The gardener decided to systematically water the plants.","The gardener decided to water the plants systematically."
"The tourists wanted to leisurely explore the city.","The tourists wanted to explore the city leisurely."
"The director instructed to subtly change the scene.","The director instructed to change the scene subtly."
"He promised to immediately call when he arrived.","He promised to call immediately when he arrived."
"The author tried to eloquently express her thoughts.","The author tried to express her thoughts eloquently."
"She decided to permanently delete her social media accounts.","She decided to delete her social media accounts permanently."
"He asked her to slowly explain the process.","He asked her to explain the process slowly."
"The driver decided to cautiously navigate the icy road.","The driver decided to navigate the icy road cautiously."
"The team wanted to collectively make a decision.","The team wanted to make a decision collectively."
"He aimed to dramatically improve his grades.","He aimed to improve his grades dramatically."
"The company decided to strategically invest in new ventures.","The company decided to invest strategically in new ventures."
"She tried to persuasively argue her point.","She tried to argue her point persuasively."
"The artist wanted to uniquely express himself.","The artist wanted to express himself uniquely."
"The speaker tried to clearly convey his message.","The speaker tried to convey his message clearly."
"She advised to always think positively.","She advised to think always positively."
"The hikers decided to gradually climb the mountain.","The hikers decided to climb the mountain gradually."
"The students aimed to collaboratively work on the project.","The students aimed to work collaboratively on the project."
"She told him to quietly enter the room.","She told him to enter the room quietly."
"The photographer wanted to artistically capture the scene.","The photographer wanted to capture the scene artistically."
"The coach instructed to aggressively play defense.","The coach instructed to play defense aggressively."
"The company needed to rapidly adapt to the market changes.","The company needed to adapt rapidly to the market changes."
"He decided to strongly voice his opinion.","He decided to voice his opinion strongly."
"The researchers aimed to objectively analyze the data.","The researchers aimed to analyze the data objectively."
"She wanted to passionately advocate for her cause.","She wanted to advocate passionately for her cause."
"I enjoy to read books.","I enjoy reading books."
"She is exciting about the trip.","She is excited about the trip."
"He is interested on learning Spanish.","He is interested in learning Spanish."
"The children were so bore at the museum.","The children were so bored at the museum."
"He is talented for playing the guitar.","He is talented at playing the guitar."
"The scientist studied the organism's adapt to their environment.","The scientist studied the organisms' adaptation to their environment."
"The project was cancel due to a lack of funding.","The project was canceled due to a lack of funding."
"He was annoy by the constant noise.","He was annoyed by the constant noise."
"The athlete's success was attributable to his dedicate to his training.","The athlete's success was attributable to his dedication to his training."
"It's essential to brush your teeth twice a day for prevent cavities.","It's essential to brush your teeth twice a day to prevent cavities."
"I prefer cook at home instead of eating out.","I prefer cooking at home instead of eating out."
"He was disappoint with his exam results.","He was disappointed with his exam results."
"She is obsessed with collect vintage clothing.","She is obsessed with collecting vintage clothing."
"The journalist was criticized for misrepresent the facts.","The journalist was criticized for misrepresenting the facts."
"I appreciate your help with organize the event.","I appreciate your help with organizing the event."
"The company is committed to reduce its carbon footprint.","The company is committed to reducing its carbon footprint."
"The teacher was impressed by the student's improve in math.","The teacher was impressed by the student's improvement in math."
"I am look forward to meet you in person.","I am looking forward to meeting you in person."
"The dog was punished for chew the furniture.","The dog was punished for chewing the furniture."
"The politician was accused of corrupt and bribery.","The politician was accused of corruption and bribery."
"The girl was embarass to admit she had never seen the movie.","The girl was embarrassed to admit she had never seen the movie."
"The boy's parents were concerned about his frequent lying.","The boy's parents were concerned about his frequent lies."
"The manager had a reputation for being very demand.","The manager had a reputation for being very demanding."
"The team was congratulate on their victory.","The team was congratulated on their victory."
"The artist is known for his innovate use of color.","The artist is known for his innovative use of color."
"The company's sales have been decline in recent months.","The company's sales have been declining in recent months."
"I am sorry for disturb you at this late hour.","I am sorry for disturbing you at this late hour."
"She had a difficult time make a decision.","She had a difficult time making a decision."
"The students were instructed to proofread their papers for avoid errors.","The students were instructed to proofread their papers to avoid errors."
"The broken window was a result of the children's careless play.","The broken window was a result of the children's careless playing."
"They are considering to move to a new city for better job opportunities.","They are considering moving to a new city for better job opportunities."
"The movie was criticize for its lack of character development.","The movie was criticized for its lack of character development."
"The athlete was disqualify for using performance-enhancing drugs.","The athlete was disqualified for using performance-enhancing drugs."
"The company's success was due to its invest in new technologies.","The company's success was due to its investment in new technologies."
"The parents were worried about their child's safety on the playground.","The parents were worried about their child's safe play on the playground."
"The chef's signature dish is made by roast vegetables and herbs.","The chef's signature dish is made by roasting vegetables and herbs."
"The students were encourage to ask questions during the lecture.","The students were encouraged to ask questions during the lecture."
"The police officer's quick think saved the hostage's life.","The police officer's quick thinking saved the hostage's life."
"The flowers in the garden were wilt due to the heat.","The flowers in the garden were wilting due to the heat."
"The book's success was due to the author's unique write style.","The book's success was due to the author's unique writing style."
"The traveler was amaze by the beauty of the landscape.","The traveler was amazed by the beauty of the landscape."
"The doctor advised the patient to quit smoke.","The doctor advised the patient to quit smoking."
"The company was fined for pollute the river.","The company was fined for polluting the river."
"The engineer's primary responsibility was to design the bridge.","The engineer's primary responsibility was designing the bridge."
"I apologize for any inconvenience my mistake may have cause.","I apologize for any inconvenience my mistake may have caused."
"The soccer player was injure during the game.","The soccer player was injured during the game."
"The politician's speech was focused on promote unity.","The politician's speech was focused on promoting unity."
"The architect's bold vision led to the creation of a beautiful building.","The architect's bold vision led to creating a beautiful building."
"The company's management was criticized for their lack of communicate with employees.","The company's management was criticized for their lack of communication with employees."
"Me go to the store yesterday","I went to the store yesterday"
"This house need painting","This house needs painting"
"She look happy today","She looks happy today"
"We eat pizza last night","We ate pizza last night"
"They don live here anymore","They don't live here anymore"
"Book are on the table","The book is on the table"
"If I you I would go","If I were you I would go"
"Everyone has own opinion","Everyone has their own opinion"
"My brother and I clean house","My brother and I clean the house"
"I could care less","I couldn't care less"
"These pants fit good","These pants fit well"
"You see that movie yet","Did you see that movie yet"
"I wish I could went swimming","I wish I could have gone swimming"
"A lot people came to party","A lot of people came to the party"
"Whos phone is this","Whose phone is this"
"Borrowed book but havent read it","Borrowed his book but haven't read it"
"Favorite color is blue green","Favorite colors are blue and green"
"That was really great movie","That was a really good movie"
"Asked him if he wanted come","Asked him if he wanted to come"
"Going to store want anything","I'm going to the store. Would you like anything?"
"There are to many mistakes","There are too many mistakes"
"Can I borrow your pen","Can I borrow your pencil?"
"We should of studied harder","We should have studied harder"
"Important to eat healthy food","It's important to eat healthy foods"
"Trying to loose weight","I'm trying to lose weight"
"Benjamin Franklin very intelligent","Benjamin Franklin was a very intelligent man"
"Where you go to school","Where did you go to school?"
"Hope you feel better soon","I hope you feel better soon"
"Favorite hobby is reading","My favorite hobby is reading"
"Can you help me this problem","Can you help me with this problem?"
"There are alot of people waiting","There are a lot of people waiting in line"
"Not sure if I can make meeting","I'm not sure if I can make it to the meeting"
"Teacher give us homework today","Teacher gave us homework today"
"Computer turn off automatically","Computer turns off automatically"
"Phone need charging","Phone needs charging"
"This milk taste sour","This milk tastes sour"
"Download the file and open it","Downloaded the file and opened it"
"Student take test today","Students take the test today"
"They travel to Europe last summer","They traveled to Europe last summer"
"Bread is on the counter","Bread is on the counter"
"Lock the door before leaving","Lock the door before you leave"
"Left the house early this morning","Left the house early in the morning"
"Raining outside all day","It has been raining outside all day"
"Open the window let air in","Open the window to let air in"
"Computer screen is too bright","Computer screen is too bright"
"Need to buy some groceries","Need to buy groceries"
"Wash the dishes before dinner","Wash the dishes before you eat dinner"
"Took the trash out yesterday","Took out the trash yesterday"
"Finished my homework already","Already finished my homework"
"Want to go to the beach today","Want to go to the beach today?"
"This movie is very scary","This movie is very scary"
"She wear a red dress","She wears a red dress"
"Me go to the store yesterday","I went to the store yesterday"
"This house need painting","This house needs painting"
"She look happy today","She looks happy today"
"We eat pizza last night","We ate pizza last night"
"They don live here anymore","They don't live here anymore"
"Book are on the table","The book is on the table"
"If I you I would go","If I were you I would go"
"Everyone has own opinion","Everyone has their own opinion"
"My brother and I clean house","My brother and I clean the house"
"I could care less","I couldn't care less"
"These pants fit good","These pants fit well"
"You see that movie yet","Did you see that movie yet"
"I wish I could went swimming","I wish I could have gone swimming"
"A lot people came to party","A lot of people came to the party"
"Whos phone is this","Whose phone is this"
"Borrowed book but havent read it","Borrowed his book but haven't read it"
"Favorite color is blue green","Favorite colors are blue and green"
"That was really great movie","That was a really good movie"
"Asked him if he wanted come","Asked him if he wanted to come"
"Going to store want anything","I'm going to the store. Would you like anything?"
"There are to many mistakes","There are too many mistakes"
"Can I borrow your pen","Can I borrow your pencil?"
"We should of studied harder","We should have studied harder"
"Important to eat healthy food","It's important to eat healthy foods"
"Trying to loose weight","I'm trying to lose weight"
"Benjamin Franklin very intelligent","Benjamin Franklin was a very intelligent man"
"Where you go to school","Where did you go to school?"
"Favorite hobby is reading","My favorite hobby is reading"
"Can you help me this problem","Can you help me with this problem?"
"There are alot of people waiting","There are a lot of people waiting in line"
"Teacher give us homework today","Teacher gave us homework today"
"Computer turn off automatically","Computer turns off automatically"
"Phone need charging","Phone needs charging"
"This milk taste sour","This milk tastes sour"
"Download the file and open it","Downloaded the file and opened it"
"Student take test today","Students take the test today"
"They travel to Europe last summer","They traveled to Europe last summer"
"Bread is on the counter","Bread is on the counter"
"Lock the door before leaving","Lock the door before you leave"
"Left the house early this morning","Left the house early in the morning"
"Raining outside all day","It has been raining outside all day"
"Open the window let air in","Open the window to let air in"
"Computer screen is too bright","Computer screen is too bright"
"Need to buy some groceries","Need to buy groceries"
"Wash the dishes before dinner","Wash the dishes before you eat dinner"
"Took the trash out yesterday","Took out the trash yesterday"
"Finished my homework already","Already finished my homework"
"Computer don work anymore","Computer doesn't work anymore"
"Left my phone at home call me","Left my phone at home. Call me"
"Movie was very confusing","Movie is very confusing"
"Need to return library books","Need to return the library books"
"Downloading the game now takes forever","Downloading the game now is taking forever"
"Forgot to take out the trash","Forgot to take out the trash yesterday"
"They are going camping this weekend","They are going camping next weekend"
"This shirt looks really nice on you","This shirt looks really good on you"
"Printer is out of ink need refill","Printer is out of ink. Need refill"
"Coffee tastes too strong need water","Coffee tastes too strong. Need water"
"Can you help me with this project","Can you help me out with this project"
"They are the best team in the league","They were the best team in the league"
"Do you have plans for tonight","Do you have any plans for tonight"
"Alarm clock set for 7 am","Alarm clock is set for 7 am"
"Running late for work be there soon","Running late for work. Will be there soon"
"Whats for dinner tonight","What's for dinner tonight?"
"Bakery closes at 5 pm hurry","Bakery closes at 5 pm. Hurry!"
"Download finished successfully","Download finished successfully."
"This dress is too expensive buy it anyway","This dress is too expensive. Buying it anyway"
"Meeting starts at 10 am be on time","Meeting starts at 10 am. Be on time."
"Phone battery is low need charger","Phone battery is low. Need a charger"
"Finished cleaning the house feels great","Finished cleaning the house. Feels great"
"They built a snowman yesterday","Building a snowman yesterday was fun"
"Need to practice piano before recital","Need to practice piano for the recital"
"Forgot my password need to reset","Forgot my password. Need to reset it"
"Movie starts in 10 minutes popcorn ready","Movie starts in 10 minutes. Popcorn is ready"
"Laundry is finished need to fold it","Laundry is finished. Need to fold it"
"Downloading update will take an hour","Downloading update takes an hour"
"Packing for vacation tomorrow excited","Packing for vacation tomorrow. Excited!"
"Teacher explained the lesson well understand now","Teacher explained the lesson well. Understand it now"
"Going for a walk be back soon","Going for a walk. Will be back soon"
"This cake is delicious want another slice","This cake is delicious. Want another slice?"
"Downloading file almost finished","Downloading file is almost finished"
"Need to water the plants before they wilt","Need to water the plants before they wither"
"Finished reading the book recommend it","Finished reading the book. Recommend it"
"Alarm went off time to get up","Alarm went off. Time to get up"
"Taking a shower be ready soon","Taking a shower. Will be ready soon"
"Studying for the exam feel nervous","Studying for the exam. Feeling nervous"
"Finished my homework early free time now","Finished my homework early. Have free time now"
"Making dinner tonight spaghetti and meatballs","Making spaghetti and meatballs for dinner tonight"
"Need to grocery shop fridge is empty","Need to grocery shop. Fridge is empty"
"Computer screen is flickering need repair","Computer screen is flickering. Needs repair"
"Finished work for the day time to relax","Finished work for the day. Time to relax."
"Movie tickets sold out try next week","Movie tickets are sold out. Try next week"
"Forgot to pay the bills late fee incoming","Forgot to pay the bills. Late fee is coming"
"Downloading movie stuck at 50% restart computer","Downloading movie is stuck at 50%. Restart computer"
"Finished packing for trip ready to leave","Finished packing for the trip. Ready to leave"
"This weather is too hot prefer to stay inside","This weather is too hot. Prefer to stay inside"
"Bakery closes early today get there before 4 pm","Bakery closes early today. Get there before 4 pm"
"Me go to the store yesterday","I went to the store yesterday"
"This house need painting","This house needs painting"
"She look happy today","She looks happy today"
"We eat pizza last night","We ate pizza last night"
"They don live here anymore","They don't live here anymore"
"Book are on the table","The book is on the table"
"If I you I would go","If I were you I would go"
"Everyone has own opinion","Everyone has their own opinion"
"My brother and I clean house","My brother and I clean the house"
"I could care less","I couldn't care less"
"These pants fit good","These pants fit well"
"You see that movie yet","Did you see that movie yet"
"I wish I could went swimming","I wish I could have gone swimming"
"A lot people came to party","A lot of people came to the party"
"Whos phone is this","Whose phone is this"
"Borrowed book but havent read it","Borrowed his book but haven't read it"
"Favorite color is blue green","Favorite colors are blue and green"
"That was really great movie","That was a really good movie"
"That was really great movie","Asked him if he wanted to come"
"Going to store want anything","I'm going to the store. Would you like anything?"
"There are to many mistakes","There are too many mistakes"
"Can I borrow your pen","Can I borrow your pencil?"
"We should of studied harder","We should have studied harder"
"Important to eat healthy food","It's important to eat healthy foods"
"Trying to loose weight","I'm trying to lose weight"
"Benjamin Franklin very intelligent","Benjamin Franklin was a very intelligent man"
"Where you go to school","Where did you go to school?"
"Hope you feel better soon","I hope you feel better soon"
"Favorite hobby is reading","My favorite hobby is reading"
"Can you help me this problem","Can you help me with this problem?"
"There are alot of people waiting","There are a lot of people waiting in line"
"Teacher give us homework today","Teacher gave us homework today"
"Computer turn off automatically","Computer turns off automatically"
"Phone need charging","Phone needs charging"
"This milk taste sour","This milk tastes sour"
"Download the file and open it","Downloaded the file and opened it"
"Student take test today","Students take the test today"
"They travel to Europe last summer","They traveled to Europe last summer"
"Bread is on the counter","Bread is on the counter"
"Lock the door before leaving","Lock the door before you leave"
"Left the house early this morning","Left the house early in the morning"
"She don’t like coffee.","She doesn’t like coffee."
"I has a cat.","I have a cat."
"He go to the store.","He goes to the store."
"They am happy.","They are happy."
"She don’t want to go.","She doesn’t want to go."
"He don’t like pizza.","He doesn’t like pizza."
"I don’t have money.","I don’t have money."
"She don’t know the answer.","She doesn’t know the answer."
"He don’t play tennis.","He doesn’t play tennis."
"They don’t like ice cream.","They don’t like ice cream."
"I don’t like rainy days.","I don’t like rainy days."
"She don’t understand the question.","She doesn’t understand the question."
"He don’t want to go.","He doesn’t want to go."
"They don’t have time.","They don’t have time."
"I don’t know the answer.","I don’t know the answer."
"She don’t eat meat.","She doesn’t eat meat."
"He don’t like swimming.","He doesn’t like swimming."
"They don’t play soccer.","They don’t play soccer."
"I don’t want to go.","I don’t want to go."
"She don’t have a car.","She doesn’t have a car."
"He don’t understand the instructions.","He doesn’t understand the instructions."
"They don’t like spicy food.","They don’t like spicy food."
"I don’t like horror movies.","I don’t like horror movies."
"She don’t speak French.","She doesn’t speak French."
"He don’t play the guitar.","He doesn’t play the guitar."
"They don’t know the answer.","They don’t know the answer."
"I don’t have a pen.","I don’t have a pen."
"She don’t want to study.","She doesn’t want to study."
"He don’t like broccoli.","He doesn’t like broccoli."
"They don’t go to the gym.","They don’t go to the gym."
"I don’t like cold weather.","I don’t like cold weather."
"She don’t understand the concept.","She doesn’t understand the concept."
"He don’t want to eat.","He doesn’t want to eat."
"They don’t have enough money.","They don’t have enough money."
"I don’t know the way.","I don’t know the way."
"She don’t like spicy food.","She doesn’t like spicy food."
"He don’t play basketball.","He doesn’t play basketball."
"They don’t like horror movies.","They don’t like horror movies."
"I don’t want to go to the party.","I don’t want to go to the party."
"She don’t have time.","She doesn’t have time."
"He don’t understand the question.","He doesn’t understand the question."
"They don’t like rainy days.","They don’t like rainy days."
"I don’t like crowded places.","I don’t like crowded places."
"She don’t eat fish.","She doesn’t eat fish."
"He don’t like spicy food.","He doesn’t like spicy food."
"They don’t go to the gym.","They don’t go to the gym."
"I don’t like cold weather.","I don’t like cold weather."
"She don’t understand the concept.","She doesn’t understand the concept."
"He don’t want to eat.","He doesn’t want to eat."
"They don’t have enough money.","They don’t have enough money."
"I don’t know the way.","I don’t know the way."
"She don’t like spicy food.","She doesn’t like spicy food."
"He don’t play tennis.","He doesn’t play tennis."
"They don’t like ice cream.","They don’t like ice cream."
"I don’t like rainy days.","I don’t like rainy days."
"She don’t understand the question.","She doesn’t understand the question."
"He don’t want to go.","He doesn’t want to go."
"They don’t have time.","They don’t have time."
"I don’t know the answer.","I don’t know the answer."
"She don’t eat meat.","She doesn’t eat meat."
"He don’t like swimming.","He doesn’t like swimming."
"They don’t play soccer.","They don’t play soccer."
"I don’t want to go.","I don’t want to go."
"She don’t have a car.","She doesn’t have a car."
"He don’t understand the instructions.","He doesn’t understand the instructions."
"They don’t like spicy food.","They don’t like spicy food."
"I don’t like horror movies.","I don’t like horror movies."
"She don’t speak French.","She doesn’t speak French."
"He don’t play the guitar.","He doesn’t play the guitar."
"They don’t know the answer.","They don’t know the answer."
"I don’t have a pen.","I don’t have a pen."
"She don’t want to study.","She doesn’t want to study."
"He don’t like broccoli.","He doesn’t like broccoli."
"They don’t go to the gym.","They don’t go to the gym."
"I don’t like cold weather.","I don’t like cold weather."
"She don’t understand the concept.","She doesn’t understand the concept."
"He don’t want to eat.","He doesn’t want to eat."
"I don’t know the way.","I don’t know the way."
